Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2 (UR)",
"Lalor Park - Kings Langley",23306,499,17,25,1025,24874,
"Seven Hills - Toongabbie",22453,344,14,5,1104,23920,
"Blacktown (South)",11605,142,8,8,562,12325,
"Blacktown (West)",15209,259,10,0,680,16154,
"Glenwood",15716,95,0,4,316,16128,
"Parklea - Kellyville Ridge",31219,369,13,17,1025,32645,
"Riverstone - Marsden Park",15720,457,15,19,1109,17307,
"Acacia Gardens",3671,17,0,0,109,3796,
"Quakers Hill",21884,365,0,5,691,22945,
"Bidwill - Hebersham - Emerton",15348,1537,25,22,1510,18439,
"Glendenning - Dean Park",7846,187,5,5,305,8354,
"Hassall Grove - Plumpton",19247,490,22,12,897,20673,
"Lethbridge Park - Tregear",17353,1711,33,14,1597,20705,
"Mount Druitt - Whalan",20571,825,23,15,1265,22701,
"Prospect Reservoir",24,0,0,0,18,39,
"Rooty Hill - Minchinbury",19979,364,8,8,797,21152,
"Banksmeadow",17,0,0,0,6,18,
"Botany",9912,273,8,11,623,10822,
"Mascot - Eastlakes",22800,277,10,11,1315,24407,
"Pagewood - Hillsdale - Daceyville",10312,219,6,8,825,11374,
"Port Botany Industrial",3,0,0,0,0,11,
"Sydney Airport",24,0,0,0,28,61,
"Marrickville",24281,416,4,8,1833,26540,
"Petersham - Stanmore",18228,247,6,4,1743,20234,
"Sydenham - Tempe - St Peters",7218,134,0,3,488,7840,
"Darlinghurst",9450,56,5,0,1803,11317,
"Erskineville - Alexandria",14683,220,0,9,1328,16236,
"Glebe - Forest Lodge",17346,315,20,12,1917,19614,
"Newtown - Camperdown - Darlington",22410,235,9,10,2182,24840,
"Potts Point - Woolloomooloo",16539,208,15,9,4435,21200,
"Pyrmont - Ultimo",19249,165,5,7,2229,21655,
"Redfern - Chippendale",19625,336,12,21,2503,22495,
"Surry Hills",14175,149,9,3,2076,16416,
"Sydney - Haymarket - The Rocks",23474,45,8,0,3881,27408,
"Waterloo - Beaconsfield",29237,564,12,28,3223,33061,
"Bondi - Tamarama - Bronte",16492,63,0,4,1841,18401,
"Bondi Beach - North Bondi",18297,69,8,3,2352,20729,
"Bondi Junction - Waverly",14791,81,3,0,1978,16853,
"Centennial Park",0,0,0,0,0,0,
"Double Bay - Bellevue Hill",22404,78,0,0,2378,24870,
"Dover Heights",10155,36,3,6,637,10830,
"Paddington - Moore Park",13653,41,3,7,1466,15171,
"Rose Bay - Vaucluse - Watsons Bay",11029,24,0,3,785,11844,
"Woollahra",6888,12,3,0,775,7686,
"Coogee - Clovelly",23124,214,15,9,2095,25455,
"Malabar - La Perouse - Chifley",21230,1149,17,24,1623,24036,
"Kensington (NSW)",13693,105,9,4,1074,14887,
"Kingsford",14785,90,9,0,724,15602,
"Maroubra - North",9298,62,0,0,443,9812,
"Maroubra - South",9732,197,6,6,737,10681,
"Maroubra - West",9535,69,4,0,586,10195,
"Randwick - North",15764,90,7,0,1015,16874,
"Randwick - South",11750,64,0,0,1304,13113,
"Bass Hill - Georges Hall",20579,171,14,6,1066,21834,
"Chullora",824,3,0,0,75,900,
"Condell Park",10703,63,0,0,536,11305,
"Greenacre - Mount Lewis",24403,136,4,0,1425,25964,
"Padstow",15628,166,0,0,689,16475,
"Panania - Milperra - Picnic Point",24337,402,8,8,1033,25788,
"Revesby",15413,157,3,0,649,16223,
"Yagoona - Birrong",19469,145,12,5,1072,20706,
"Bankstown - North",15049,49,3,0,1135,16237,
"Bankstown - South",14683,57,11,0,1247,15993,
"Belmore - Belfield",17998,117,10,7,896,19033,
"Canterbury (South) - Campsie",28993,171,0,0,1450,30620,
"Kingsgrove (North) - Earlwood",22206,173,18,0,1287,23679,
"Punchbowl",19516,84,4,10,1143,20753,
"Roselands",12922,83,9,5,727,13739,
"Lakemba",15951,47,0,0,1023,17019,
"Wiley Park",9502,22,4,0,688,10217,
"Hurstville",22554,64,4,3,979,23613,
"Mortdale - Penshurst",22737,148,0,0,1021,23907,
"Narwee - Beverly Hills",13101,97,13,3,567,13781,
"Oatley - Hurstville Grove",12120,72,3,0,419,12614,
"Peakhurst - Lugarno",17226,143,3,0,559,17937,
"Riverwood",10563,71,0,0,637,11277,
"South Hurstville - Blakehurst",23169,74,8,0,809,24070,
"Arncliffe - Bardwell Valley",20066,140,8,4,1232,21443,
"Bexley",24928,105,3,0,1437,26480,
"Kingsgrove (South) - Bardwell Park",12009,87,11,3,505,12615,
"Kogarah",10703,51,4,0,555,11315,
"Kogarah Bay - Carlton - Allawah",15198,93,5,5,670,15965,
"Monterey - Brighton-le-Sands - Kyeemagh",12804,115,0,0,1044,13972,
"Rockdale - Banksia",18581,98,0,3,1270,19960,
"Sans Souci - Ramsgate",14912,132,10,6,906,15976,
"Concord - Mortlake - Cabarita",20708,108,0,3,920,21742,
"Concord West - North Strathfield",23386,89,11,0,1360,24850,
"Drummoyne - Rodd Point",17089,52,3,0,1173,18326,
"Five Dock - Abbotsford",19096,134,7,0,1205,20440,
"Balmain",14244,109,4,0,1336,15686,
"Leichhardt - Annandale",24202,300,14,8,1866,26388,
"Lilyfield - Rozelle",12815,127,6,8,1035,13991,
"Ashfield",22890,137,11,13,1451,24497,
"Burwood - Croydon",23381,76,5,0,1187,24653,
"Canterbury (North) - Ashbury",9750,123,0,0,568,10449,
"Croydon Park - Enfield",16394,103,0,0,722,17222,
"Dulwich Hill - Lewisham",15415,234,4,14,1140,16809,
"Haberfield - Summer Hill",12668,99,3,0,701,13474,
"Homebush",14753,33,4,0,1422,16211,
"Strathfield",23617,61,3,0,1337,25016,
"Strathfield South",3351,21,0,0,175,3542,
"Chatswood (East) - Artarmon",27109,43,0,0,1527,28683,
"Chatswood (West) - Lane Cove North",19943,38,0,3,877,20857,
"Lane Cove - Greenwich",25546,95,0,7,1095,26733,
"St Leonards - Naremburn",9784,25,0,0,693,10500,
"Willoughby - Castle Cove - Northbridge",24404,45,3,0,1014,25463,
"Asquith - Mount Colah",17614,137,0,5,531,18291,
"Berowra - Brooklyn - Cowan",11260,94,0,0,342,11699,
"Normanhurst - Thornleigh - Westleigh",17892,92,11,0,545,18531,
"Hornsby - East",11366,54,4,0,377,11798,
"Hornsby - West",10119,47,0,0,517,10684,
"Waitara - Wahroonga (West)",9172,20,0,0,408,9602,
"Gordon - Killara",20626,29,0,0,671,21328,
"Lindfield - Roseville",22381,31,0,0,738,23147,
"Pymble",15858,24,4,0,466,16354,
"St Ives",19832,26,0,3,588,20456,
"Turramurra",18464,24,8,0,770,19267,
"Wahroonga (East) - Warrawee",17020,62,8,3,730,17822,
"Cremorne - Cammeray",17789,36,5,4,1245,19084,
"Crows Nest - Waverton",16801,49,12,0,1163,18026,
"Mosman",26523,55,4,0,1896,28476,
"Neutral Bay - Kirribilli",16296,43,11,3,1500,17852,
"North Sydney - Lavender Bay",9675,34,3,0,992,10703,
"Balgowlah - Clontarf - Seaforth",19226,65,0,3,893,20188,
"Manly - Fairlight",20041,80,6,4,1580,21704,
"Avalon - Palm Beach",11751,70,0,0,559,12374,
"Bayview - Elanora Heights",10078,51,4,0,615,10745,
"Newport - Bilgola",12688,59,3,4,431,13186,
"Warriewood - Mona Vale",22847,186,9,0,1089,24134,
"Beacon Hill - Narraweena",13174,119,0,0,584,13882,
"Cromer",7124,68,0,0,288,7485,
"Dee Why - North Curl Curl",23241,128,9,0,1569,24949,
"Forestville - Killarney Heights",12395,38,4,0,355,12796,
"Frenchs Forest - Belrose",24267,92,7,0,801,25171,
"Freshwater - Brookvale",19607,106,8,0,1247,20978,
"Manly Vale - Allambie Heights",16148,88,4,0,637,16870,
"Narrabeen - Collaroy",23284,146,4,11,1328,24771,
"Terrey Hills - Duffys Forest",3424,20,0,0,197,3648,
"Camden - Ellis Lane",12255,254,3,0,451,12963,
"Elderslie - Harrington Park",19731,476,0,0,763,20980,
"Mount Annan - Currans Hill",26719,892,11,8,943,28576,
"Bradbury - Wedderburn",16717,1153,22,28,1040,18962,
"Campbelltown - Woodbine",16430,634,23,14,1094,18194,
"Claymore - Eagle Vale - Raby",18441,817,20,23,1101,20405,
"Holsworthy Military Area",0,0,0,0,0,0,
"Ingleburn - Denham Court",18436,390,13,8,1137,19985,
"Leumeah - Minto Heights",15232,591,15,6,688,16541,
"Macquarie Fields - Glenfield",21218,677,18,10,1639,23556,
"Minto - St Andrews",18454,634,19,4,775,19887,
"Rosemeadow - Glen Alpine",18892,864,5,7,1108,20876,
"Bargo",5214,198,3,0,325,5740,
"Douglas Park - Appin",8944,249,6,4,429,9625,
"Picton - Tahmoor - Buxton",15185,588,8,4,997,16786,
"The Oaks - Oakdale",8262,253,6,0,478,8997,
"Blackheath - Megalong Valley",5051,108,5,0,386,5560,
"Blaxland - Warrimoo - Lapstone",17941,358,5,8,631,18936,
"Blue Mountains - North",12,0,0,0,0,12,
"Katoomba - Leura",11942,366,3,9,901,13222,
"Lawson - Hazelbrook - Linden",10441,359,4,7,439,11253,
"Springwood - Winmalee",20487,438,14,8,687,21633,
"Wentworth Falls",5622,118,0,0,327,6077,
"Blue Mountains - South",3,0,0,0,0,5,
"Cambridge Park",14104,829,22,11,670,15644,
"Castlereagh - Cranebrook",21492,1054,18,8,1155,23724,
"Emu Plains - Leonay",13288,449,11,4,479,14223,
"Glenmore Park - Regentville",19966,531,6,5,697,21203,
"Jamisontown - South Penrith",15818,614,10,5,841,17288,
"Kingswood - Werrington",17763,747,11,6,1050,19577,
"Mulgoa - Luddenham - Orchard Hills",8818,161,11,0,555,9541,
"Penrith",11719,649,5,12,909,13295,
"Warragamba - Silverdale",4755,185,5,0,253,5195,
"Richmond - Clarendon",12499,552,8,4,787,13839,
