Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"Main Statistical Area Structure (Main ASGS) (UR) by Indigenous Status (INGP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Indigenous Status (INGP)","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"Main Statistical Area Structure (Main ASGS) (UR)",
"Bondi Junction - Waverly",14016,76,0,0,1758,15844,
"Centennial Park",0,0,0,0,0,0,
"Double Bay - Bellevue Hill",20955,57,3,0,2914,23929,
"Dover Heights",9858,19,5,0,535,10424,
"Paddington - Moore Park",12598,31,0,0,1611,14239,
"Rose Bay - Vaucluse - Watsons Bay",10794,19,0,0,895,11713,
"Woollahra",6581,5,0,0,591,7182,
"Coogee - Clovelly",21682,158,11,12,1813,23671,
"Kensington - Kingsford",24871,119,11,7,1863,26874,
"Malabar - La Perouse - Chifley",18847,1006,23,18,1211,21113,
"Maroubra",26936,328,18,4,2308,29594,
"Randwick",25744,109,12,3,1871,27742,
"Bankstown",27973,94,9,0,2752,30835,
"Bass Hill - Georges Hall",18864,147,24,0,1038,20069,
"Chullora",0,0,0,0,0,0,
"Condell Park",9466,56,9,0,660,10186,
"Greenacre - Mount Lewis",22944,114,4,0,1256,24311,
"Padstow",14809,143,4,3,675,15631,
"Panania - Milperra - Picnic Point",23060,316,5,5,820,24218,
"Revesby",14016,143,18,4,693,14870,
"Yagoona - Birrong",17583,140,11,3,1207,18953,
"Belmore - Belfield",17447,111,7,3,1050,18619,
"Canterbury (South) - Campsie",25091,111,5,8,1608,26817,
"Kingsgrove (North) - Earlwood",21488,113,5,3,907,22522,
"Lakemba - Wiley Park",23067,50,15,0,2078,25208,
"Punchbowl",17725,82,4,3,1384,19199,
"Roselands",12286,64,3,10,706,13063,
"Hurstville",19369,51,14,0,710,20152,
"Mortdale - Penshurst",21441,120,3,3,703,22270,
"Narwee - Beverly Hills",11829,90,8,10,833,12762,
"Oatley - Hurstville Grove",11526,64,0,0,358,11946,
"Peakhurst - Lugarno",16732,152,11,5,521,17419,
"Riverwood",8569,86,3,0,794,9456,
"South Hurstville - Blakehurst",21731,78,0,9,779,22603,
"Arncliffe - Bardwell Valley",13697,93,3,0,877,14671,
"Bexley",23848,98,14,0,1164,25120,
"Kingsgrove (South) - Bardwell Park",11420,68,8,0,520,12009,
"Kogarah",8944,48,0,0,616,9607,
"Kogarah Bay - Carlton - Allawah",14099,51,0,0,687,14839,
"Monterey - Brighton-le-Sands - Kyeemagh",12137,76,0,0,915,13128,
"Rockdale - Banksia",16717,94,4,4,1507,18323,
"Sans Souci - Ramsgate",14005,106,0,0,687,14806,
"Concord - Mortlake - Cabarita",18546,77,0,0,957,19582,
"Concord West - North Strathfield",16423,57,4,0,1528,18018,
"Drummoyne - Rodd Point",16411,41,6,0,1001,17459,
"Five Dock - Abbotsford",18202,88,4,0,807,19101,
"Balmain",13717,103,4,3,918,14753,
"Leichhardt - Annandale",22908,258,17,5,1246,24433,
"Lilyfield - Rozelle",12190,120,3,3,697,13017,
"Ashfield",21032,122,10,3,1604,22772,
"Burwood - Croydon",19809,85,5,0,1120,21013,
"Canterbury (North) - Ashbury",8893,102,3,3,377,9378,
"Croydon Park - Enfield",15538,81,0,0,765,16385,
"Dulwich Hill - Lewisham",14534,187,10,18,1155,15904,
"Haberfield - Summer Hill",12400,61,0,0,766,13235,
"Homebush",11340,29,3,0,1138,12517,
"Strathfield",24236,49,3,3,1714,26002,
"Chatswood (East) - Artarmon",22952,29,0,0,1359,24343,
"Chatswood (West) - Lane Cove North",17298,55,10,0,756,18122,
"Lane Cove - Greenwich",23283,35,0,9,822,24147,
"St Leonards - Naremburn",8702,22,0,0,546,9262,
"Willoughby - Castle Cove - Northbridge",23385,36,0,9,887,24322,
"Asquith - Mount Colah",17315,71,8,4,335,17735,
"Berowra - Brooklyn - Cowan",11014,68,4,0,311,11395,
"Hornsby - Waitara",27989,122,4,0,1261,29372,
"Normanhurst - Thornleigh - Westleigh",17496,59,7,0,467,18026,
"Gordon - Killara",18134,25,0,0,593,18753,
"Lindfield - Roseville",20306,18,0,0,852,21171,
"Pymble",15249,9,15,0,463,15736,
"St Ives",18038,19,4,0,578,18644,
"Turramurra",17340,25,0,0,664,18029,
"Wahroonga - Warrawee",16543,30,4,0,674,17247,
"Cremorne - Cammeray",16643,21,0,0,1392,18058,
"Crows Nest - Waverton",15379,44,3,0,1195,16621,
"Mosman",25502,28,0,0,1923,27452,
"Neutral Bay - Kirribilli",15215,35,3,0,1455,16712,
"North Sydney - Lavender Bay",8448,17,0,0,1047,9514,
"Balgowlah - Clontarf - Seaforth",18383,47,5,0,740,19183,
"Manly - Fairlight",18878,49,6,0,1632,20565,
"Avalon - Palm Beach",11670,39,0,0,489,12198,
"Bayview - Elanora Heights",9787,42,3,0,372,10207,
"Newport - Bilgola",12186,43,0,0,675,12898,
"Warriewood - Mona Vale",20932,102,5,13,797,21846,
"Beacon Hill - Narraweena",12539,84,7,0,413,13042,
"Cromer",6975,34,3,0,197,7207,
"Dee Why - North Curl Curl",21510,90,3,4,1148,22756,
"Forestville - Killarney Heights",11895,28,7,0,363,12290,
"Frenchs Forest - Belrose",23446,66,0,0,569,24082,
"Freshwater - Brookvale",18229,78,17,4,906,19235,
"Manly Vale - Allambie Heights",15389,64,4,7,435,15900,
"Narrabeen - Collaroy",21582,91,8,3,1011,22690,
"Terrey Hills - Duffys Forest",3401,8,0,0,129,3535,
"Camden - Ellis Lane",11570,182,3,3,376,12134,
"Elderslie - Harrington Park",15317,310,3,6,444,16075,
"Mount Annan - Currans Hill",22782,535,12,4,692,24024,
"Bradbury - Wedderburn",17209,962,18,15,944,19153,
"Campbelltown - Woodbine",14514,427,11,3,801,15756,
"Claymore - Eagle Vale - Raby",19023,637,27,11,1310,21014,
"Holsworthy Military Area",0,0,0,0,0,0,
"Ingleburn - Denham Court",15629,287,15,0,660,16589,
"Leumeah - Minto Heights",14797,473,10,11,694,15983,
"Macquarie Fields - Glenfield",19453,598,27,13,848,20931,
"Minto - St Andrews",16243,543,22,9,768,17579,
"Rosemeadow - Glen Alpine",18325,610,12,8,1207,20158,
"Bargo",5051,141,3,0,209,5407,
"Douglas Park - Appin",6729,114,3,0,220,7062,
"Picton - Tahmoor - Buxton",14192,480,7,7,682,15370,
"The Oaks - Oakdale",8142,138,0,0,284,8566,
"Blackheath - Megalong Valley",4692,89,0,0,680,5462,
"Blaxland - Warrimoo - Lapstone",17808,224,14,3,455,18499,
"Blue Mountains - North",30,0,0,0,0,30,
"Katoomba - Leura",11495,273,3,4,1148,12920,
"Lawson - Hazelbrook - Linden",10335,280,0,0,468,11081,
"Springwood - Winmalee",20933,346,4,10,480,21771,
"Wentworth Falls",5426,74,0,0,438,5935,
"Blue Mountains - South",8,0,0,0,0,8,
"Cambridge Park",14054,588,4,6,489,15136,
"Castlereagh - Cranebrook",16026,612,10,3,720,17372,
"Emu Plains - Leonay",13109,337,17,4,409,13881,
"Glenmore Park - Regentville",20039,322,12,0,522,20888,
"Jamisontown - South Penrith",15706,425,3,4,750,16888,
"Kingswood - Werrington",15736,505,21,6,847,17112,
"Mulgoa - Luddenham - Orchard Hills",6161,108,3,0,249,6518,
"Penrith",10598,455,11,8,744,11813,
"Warragamba - Silverdale",4724,116,3,0,210,5058,
"Richmond - Clarendon",12485,359,12,0,586,13441,
"Windsor - Bligh Park",14189,640,14,3,609,15462,
"Yarramundi - Londonderry",6232,290,5,8,307,6847,
"Erskine Park",6296,111,3,0,252,6668,
"St Clair",18745,489,11,4,585,19840,
"St Marys - Colyton",23100,998,21,23,1419,25559,
"Auburn",30431,69,3,0,2616,33123,
"Homebush Bay - Silverwater",10319,232,3,9,738,11308,
"Lidcombe - Regents Park",28158,119,5,3,1697,29986,
"Rookwood Cemetery",10,0,0,0,0,10,
"Carlingford",23890,66,0,0,665,24621,
"Ermington - Rydalmere",18242,175,15,0,782,19216,
"Oatlands - Dundas Valley",14823,134,8,0,799,15763,
"Chester Hill - Sefton",15902,122,3,3,618,16644,
"Fairfield - East",13562,94,0,8,735,14401,
"Granville - Clyde",16652,108,3,9,1470,18246,
"Greystanes - Pemulwuy",22567,168,6,0,719,23467,
"Guildford - South Granville",16792,181,11,0,1348,18330,
"Guildford West - Merrylands West",17612,147,11,6,1245,19020,
