Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"SA2 by Indigenous Status (INGP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Indigenous Status (INGP)","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2",
"Landsborough",8837,206,3,4,440,9486,
"Maroochy Hinterland",5590,61,3,0,288,5932,
"Palmwoods",9629,129,9,0,387,10155,
"Cambooya - Wyreema",5404,122,4,0,178,5700,
"Darling Heights",11234,389,13,8,618,12270,
"Drayton - Harristown",8903,425,16,6,747,10103,
"Gatton",6695,175,4,4,299,7179,
"Gowrie (Qld)",5237,189,0,0,149,5571,
"Highfields",10775,172,9,3,292,11248,
"Lockyer Valley - West",9317,217,14,9,683,10240,
"Middle Ridge",6185,42,0,6,330,6563,
"Newtown (Qld)",8658,493,13,18,386,9564,
"North Toowoomba - Harlaxton",5297,334,14,8,241,5897,
"Rangeville",7839,111,11,3,250,8215,
"Toowoomba - Central",12168,488,25,16,602,13299,
"Toowoomba - East",9449,198,0,8,390,10052,
"Toowoomba - West",10735,261,13,7,383,11400,
"Wilsonton",11506,831,20,13,540,12919,
"Ayr",8074,440,73,86,489,9152,
"Burdekin",7497,233,31,37,351,8140,
"Charters Towers",6848,753,22,49,554,8235,
"Dalrymple",3602,128,3,3,203,3936,
"Ingham",4162,330,48,29,198,4768,
"Ingham Region",6277,195,23,23,272,6801,
"Palm Island",114,1841,25,335,21,2339,
"Aitkenvale",4243,217,70,35,334,4910,
"Annandale",8897,153,19,16,386,9469,
"Belgian Gardens - Pallarenda",3029,125,16,10,272,3457,
"Bohle Plains",5173,97,8,3,225,5508,
"Condon - Rasmussen",8659,836,207,137,506,10344,
"Cranbrook",5280,317,96,35,408,6147,
"Deeragun",13466,525,96,60,1069,15217,
"Douglas",6596,114,30,21,430,7190,
"Garbutt - West End",5395,463,134,94,647,6726,
"Gulliver - Currajong - Vincent",6864,462,114,114,548,8106,
"Heatley",3593,332,59,58,168,4217,
"Hermit Park - Rosslea",4471,189,59,35,366,5124,
"Hyde Park - Pimlico",4318,177,48,38,274,4859,
"Kelso",8717,713,164,111,544,10247,
"Kirwan - East",6952,529,140,90,432,8142,
"Kirwan - West",14427,599,107,88,623,15851,
"Magnetic Island",1992,51,0,5,146,2197,
"Mount Louisa",7103,319,63,85,317,7883,
"Mundingburra",3378,88,36,10,367,3879,
"Northern Beaches",5355,189,12,15,507,6073,
"Oonoonba",4721,145,34,11,353,5258,
"South Townsville - Railway Estate",4494,215,47,36,310,5096,
"Townsville - South",3652,97,9,3,201,3961,
